DMU,bcc_score,efficient,benchmarks,lambdas
XOM,1.0,True,-,"{'XOM': 1.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': -0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
CVX,1.1281,False,"PBR, EQNR, MPC","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.2089, 'EQNR': 0.065, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.7261, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
SHEL,1.0188,False,"XOM, PBR, EQNR, MPC","{'XOM': 0.7083, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0182, 'EQNR': 0.151, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.1226, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
BP,1.0686,False,"XOM, PBR, MPC","{'XOM': 0.1112, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.1358, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.753, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
TTE,1.0854,False,"PBR, EQNR, MPC","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.1804, 'EQNR': 0.0512, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.7684, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
COP,1.0585,False,"PBR, EQNR, DVN","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.056, 'EQNR': 0.2385, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.7055, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
PBR,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 1.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': -0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
EQNR,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 1.0, 'E': 0.0, 'OXY': 0.0, 'DVN': -0.0, 'VLO': -0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
E,1.1937,False,"PBR, EQNR, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0169, 'EQNR': 0.876, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.1071, 'WMB': 0.0}"
OXY,1.1253,False,"PBR, DVN, WMB","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0274, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.2276, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.745}"
DVN,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 1.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
VLO,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': -0.0, 'VLO': 1.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
PSX,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 1.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
MPC,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': -0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 1.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 0.0}"
SLB,1.0889,False,"PBR, EQNR, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0127, 'EQNR': 0.2418, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.7455, 'WMB': 0.0}"
HAL,1.0488,False,"EQNR, MPC, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.1088, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0224, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.8687, 'WMB': 0.0}"
IMO,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': -0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': -0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 1.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': -0.0, 'WMB': 0.0}"
CNQ,1.2438,False,"PBR, EQNR, DVN, FTI, WMB","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0339, 'EQNR': 0.1923, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.5134, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.1293, 'WMB': 0.1311}"
SU,1.1336,False,"PBR, EQNR, DVN, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0221, 'EQNR': 0.3686, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.3846, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.2247, 'WMB': 0.0}"
BKR,1.1077,False,"PBR, EQNR, FTI","{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0069, 'EQNR': 0.1842, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.8089, 'WMB': 0.0}"
FTI,1.0,True,-,"{'XOM': -0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 1.0, 'WMB': 0.0}"
WMB,1.0,True,-,"{'XOM': 0.0, 'CVX': 0.0, 'SHEL': 0.0, 'BP': 0.0, 'TTE': 0.0, 'COP': 0.0, 'PBR': 0.0, 'EQNR': 0.0, 'E': 0.0, 'OXY': 0.0, 'DVN': 0.0, 'VLO': 0.0, 'PSX': 0.0, 'MPC': 0.0, 'SLB': 0.0, 'HAL': 0.0, 'IMO': 0.0, 'CNQ': 0.0, 'SU': 0.0, 'BKR': 0.0, 'FTI': 0.0, 'WMB': 1.0}"
